Movie Title,Streaming Service,Date
17 Again,NETFLIX,October 1
30 Minutes or Less,NETFLIX,October 1
60 Days In,NETFLIX,October 1
Any Given Sunday,NETFLIX,October 1
Barbie: It Takes Two,NETFLIX,October 1
Call Me by Your Name,NETFLIX,October 1
Charlotte's Web,NETFLIX,October 1
Chocolat,NETFLIX,October 1
City Slickers,NETFLIX,October 1
The Color Purple,NETFLIX,October 1
Gladiator,NETFLIX,October 1
How to Lose a Guy in 10 Days,NETFLIX,October 1
"I Love You, Man",NETFLIX,October 1
Labyrinth,NETFLIX,October 1
Land of the Lost,NETFLIX,October 1
Last Seen Alive,NETFLIX,October 1
Mr. & Mrs. Smith,NETFLIX,October 1
National Lampoon's European Vacation,NETFLIX,October 1
National Lampoon's Vacation,NETFLIX,October 1
Ocean's Eleven,NETFLIX,October 1
Ocean's Thirteen,NETFLIX,October 1
Ocean's Twelve,NETFLIX,October 1
Point Break,NETFLIX,October 1
Risky Business,NETFLIX,October 1
Robin Hood,NETFLIX,October 1
Runaway Bride,NETFLIX,October 1
Rush Hour,NETFLIX,October 1
Rush Hour 2,NETFLIX,October 1
Rush Hour 3,NETFLIX,October 1
Scooby-Doo,NETFLIX,October 1
Scooby-Doo 2: Monsters Unleashed,NETFLIX,October 1
Sex and the City 2,NETFLIX,October 1
Sex and the City: The Movie,NETFLIX,October 1
Teenage Mutant Ninja Turtles,NETFLIX,October 1
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,NETFLIX,October 1
Teenage Mutant Ninja Turtles III,NETFLIX,October 1
Teenage Mutant Ninja Turtles: The Movie,NETFLIX,October 1
Vegas Vacation,NETFLIX,October 1
Walking Tall,NETFLIX,October 1
Wedding Crashers,NETFLIX,October 1
Yes Man,NETFLIX,October 1
Æon Flux,HBO MAX,October 1
Along Came A Spider,HBO MAX,October 1
Bad News Bears,HBO MAX,October 1
Bad Teacher,HBO MAX,October 1
Before I Fall,HBO MAX,October 1
Before Mickey Mouse: A History of American Animation,HBO MAX,October 1
Black Nativity,HBO MAX,October 1
